"Sol";"Site";"pH";"Eau";"Av.P";"C";"N";"NO3";"NH4";"Exc.Ac";"Exc.Al";"Exc.Ca";"Exc.Mg";"Exc.K";"Exc.Na";"Exc.Cations";"SatBase";"Argile";"Limon";"Sable"
"Alluvial";"508-14_X";4.32;4.47;6.95;1.44;0.16;7.72;11.64;7.17;5.97;0.43;0.35;0.21;0.07;8.23;12.84;34;19;47
"Alluvial";"508-14_Y";4.33;3.6;9.69;1.07;0.12;11.31;3.41;3.94;3.01;0.8;0.66;0.2;0.06;5.67;30.48;26;17;57
"Dunaire";"508-41_B";4;1.59;10.99;1.65;0.07;0.62;4.66;1.88;0.28;0.42;0.71;0.25;0.09;3.34;43.72;26;11;63
"Dunaire";"508-41_G";4.06;1.83;7.56;1.54;0.07;2.41;9.15;1.48;0.43;0.27;0.9;0.46;0.22;3.33;55.62;10;9;81
"Dunaire";"508-42_C";3.51;3.25;7.68;2.95;0.17;1.19;10.46;6.51;4.03;0.2;1.23;0.51;0.19;8.64;24.68;11;5;84
"Dunaire";"508-42_H";3.81;4.02;7.44;2.26;0.12;1.07;11.06;4.82;3.23;0.12;0.88;0.24;0.07;6.13;21.35;18;15;67
"Dunaire";"508-42_I";4.24;2.36;5.51;1.72;0.09;1.06;5.31;4.12;2.92;0.28;1.54;0.79;0.09;6.83;39.65;20;12;67
"Dunaire";"508-42_N";4.18;2.66;6.6;2.03;0.12;2.44;7.32;3.96;2.88;0.16;0.83;0.21;0.05;5.21;24.06;20;9;71
"Dunaire";"508-42_O";3.4;8.11;17.43;5.59;0.29;0.07;9.44;7.1;3.75;0.37;4.39;0.87;0.09;12.82;44.6;22;12;67
"Dunaire";"508-42_P";3.88;4.17;6.65;2.15;0.12;0.15;7.55;4.02;2.24;0.21;1.14;0.23;0.1;5.7;29.52;15;16;69
"Dunaire";"508-42_Q";3.96;4.09;8.5;2;0.1;0.06;8.96;5.06;3.18;0.2;0.81;0.26;0.09;6.41;21.11;21;14;64
"Dunaire";"508-42_U";4.19;1.44;6.42;1.33;0.07;0;4.76;2.05;0.96;0.13;0.25;0.12;0.04;2.59;20.59;13;11;76
"Dunaire";"508-42_X";4.14;3.11;5.86;2.27;0.14;2.46;7.15;4.67;3.3;0.14;0.37;0.18;0.08;5.44;14.09;20;13;67
"Dunaire";"508-42_Y";4.01;4.65;6.82;2.64;0.14;2.71;6.83;4.75;3.15;0.2;0.91;0.26;0.11;6.22;23.67;18;14;68
"Dunaire";"508-43_E";4;2.59;6.87;1.39;0.08;0;4.32;2.77;1.64;0.54;1.14;0.25;0.03;4.72;41.34;18;3;79
"Dunaire";"508-43_G";4.6177094972067;1.98;4.58;1.24;0.06;0.64;3.88;1.99;1.48;0.15;0.37;0.1;0.07;2.67;25.59;14;14;72
"Dunaire";"508-43_I";3.87;4.13;6.23;2.74;0.11;0;3.98;4.12;2.76;0.19;0.68;0.18;0.07;5.24;21.42;14;14;72
"Dunaire";"508-43_L";3.79;3.94;8.39;2.48;0.13;0.43;4.25;2.34;1.09;0.26;0.78;0.17;0.08;3.63;35.55;13;8;79
"Dunaire";"508-43_M";3.95;1.72;9.19;1.32;0.07;0;5.06;2.19;0.81;0.39;1.11;0.15;0.04;3.88;43.64;11;11;77
"Dunaire";"508-43_Y";4.34;1.85;5;1.43;0.07;0;3.74;1.94;1.22;0.15;0.23;0.12;0.03;2.46;21.28;17;9;74
"Dunaire";"508-44_B";4.4;1.34;8.37;1.88;0.08;0;2.35;1.37;0.41;0.13;0.33;0.11;0.03;1.98;30.75;10;12;78
"Dunaire";"508-44_X";4.12;2.57;6.5;2.1;0.11;0;5.19;3.34;2.57;0.16;0.47;0.14;0.05;4.15;19.68;20;19;61
"Dunaire";"508-51_A";4.26;2.88;4.98206703910615;2.32;0.12;2.32;0.47;2.16;0.46;0.36;1.28;1.3;0.27;5.37;59.72;13;4;83
"Dunaire";"508-51_D";4.4;1.47;5.67;0.92;0.04;2.13;0.76;1.32;0.41;0.15;0.44;0.1;0.04;2.05;35.6;11;12;77
"Dunaire";"508-51_M";3.69;2.97;12.57;3.26;0.17;1.28;0.56;3.61;0.67;0.37;1.82;0.6;0.18;6.57;45.09;11;8;81
"Dunaire";"508-51_P";3.94;2.3;19.76;1.93;0.08;1.12;0.9;2.66;0.46;0.49;1.3;0.44;0.11;5;46.73;12;8;80
"Dunaire";"508-51_T";4.18;1.83;10.98;1.91;0.1;1.84;1.73;2.19;0.92;0.22;0.55;0.17;0.07;3.2;31.58;11;7;82
"Dunaire";"508-51_V";3.92;4.41;19.92;2.32;0.1;0.74;1.53;3.24;1.1;0.51;1.81;0.53;0.12;6.2;47.7;14;10;76
"Dunaire";"508-52_D";5.04;1.47;6.05;0.6;0.03;2.85;1.95;1.12;1.04;0.09;0.04;0.01;0.01;1.27;11.86;11;9;80
"Dunaire";"508-52_H";4.3;1.42;8.35;2.13;0.11;1.8;1.33;1.67;0.41;0.14;0.43;0.08;0.05;2.36;29.2;14;0;86
"Dunaire";"508-52_K";3.76;2.51;10.2;1.72;0.09;1.24;2.87;2.1;0.62;0.28;1.18;0.14;0.07;3.77;44.21;13;11;76
"Dunaire";"508-52_O";3.74;3.82;14.4;2.59;0.11;3.56;0.9;3.59;1.01;0.5;1.38;0.25;0.18;5.89;39.15;12;8;80
"Dunaire";"508-53_R";4;2.03;7.08;2.32;0.09;1.83;3.2;2.09;0.61;0.26;0.64;0.18;0.09;3.26;35.75;14;9;78
"Dunaire";"508-53_V";3.77;3.67;10.04;2.6;0.14;0;9.79;4.46;2.7;0.4;1.25;0.28;0.07;6.47;30.99;16;13;70
"Dunaire";"508-53_W";4.07;2.93;6.42;2.12;0.11;0.06;4.81;4.22;3.06;0.16;0.55;0.17;0.04;5.14;17.82;22;11;67
"Dunaire";"508-54_C";4.39;1.25;9.39;1.57;0.08;2.68;2.7;1.52;0.56;0.23;0.47;0.11;0.02;2.34;35.12;10;13;78
"Dunaire";"508-54_E";4.02;2.35;7.17;1.73;0.11;0.19;0.67;1.89;0.72;0.28;0.48;0.16;0.06;2.88;34.14;11;18;71
"Dunaire";"508-54_G";4.08;2.13;9.91;1.98;0.1;0.22;3.04;1.89;0.64;0.33;0.65;0.15;0.06;3.07;38.5;10;13;78
"Dunaire";"508-54_H";3.54;4.41;13.18;4;0.18;3.78;0.85;4.08;0.94;0.33;1.26;0.25;0.17;6.08;32.93;11;9;80
"Dunaire";"508-54_M";3.99;2.27;7.34;2.22;0.1;2.12;1.58;2.71;1.74;0.14;0.95;0.12;0.09;4.01;32.41;17;9;74
"Dunaire";"508-54_T";4.1;2.71;5.09;1.99;0.12;2.29;1.96;3.55;2.62;0.12;0.39;0.11;0.04;4.21;15.75;17;12;72
"Dunaire";"508-54_Y";3.92;2.35;8.04;1.69;0.09;3.31;2.38;3.64;2.2;0.14;0.47;0.2;0.08;4.52;19.65;20;5;75
"Dunaire";"508-61_C";4.26;0.84;9.76;0.89;0.07;0.46;2.1;1.61;1.01;0.37;0.28;0.08;0.01;2.35;31.36;10;9;81
"Dunaire";"508-61_L";4.34;2.14;8.92;1.34;0.08;0.32;1.39;1.15;0.97;0.2;0.18;0.09;0.05;1.66;30.92;12;10;78
"Dunaire";"508-61_T";4.08;2.62;5.77;1.84;0.11;0.13;9.72;5.08;3.75;0.13;0.48;0.1;0.04;5.84;13.01;23;8;69
"Dunaire";"508-62_M";4.16;2.09;10.65;1.6;0.08;0.31;2.2;2.04;0.87;0.21;0.76;0.17;0.04;3.23;36.67;9;7;83
"Dunaire";"508-62_N";4.61;1.53;7.1;1.19;0.07;0;2.13;2.49;1.73;0.17;0.19;0.08;0.02;2.95;15.8;13;9;78
"Dunaire";"508-62_R";4.18;1.78;9.48;1.25;0.02;0.29;2.94;1.99;1.02;0.16;0.31;0.11;0.03;2.6;23.67;12;8;79
"Dunaire";"508-62_T";4.39;0.94;8.01;1.23;0.06;0.4;1.46;1.26;0.35;0.17;0.29;0.09;0.02;1.83;31.12;11;6;83
"Dunaire";"508-63_E";3.82;3.03;11.19;2.31;0.11;0.03;2.43;4.38;2.47;0.19;0.85;0.14;0.12;5.69;22.95;13;11;76
"Dunaire";"508-63_L";4.08;1.64;7.94;1.68;0.09;0.06;2.78;2.06;0.81;0.17;0.52;0.11;0.05;2.91;29.28;9;10;81
"Dunaire";"508-63_Q";4.16;1.73;7.72;1.42;0.08;0;3.68;2.04;0.92;0.18;0.41;0.1;0.03;2.76;26.17;12;11;77
